Name,Price,Transmission,Types,Fuel,Make Year,Mileage,Lot No,Colour,Kilometer Run,Engine (CC)
R15 V2,"रू. 1,00,000",Manual,Sport,Petrol,2011,50,49,Black,77960,150
Tvs Phonex 68 Lot Super Fresh Condition Onsell,"रू. 67,000",Manual,Sport,Petrol,2015,,,,,
honda Dio,"रू. 1,35,000",Manual,Scooty,Petrol,2017,,,,,
Duke 390,"रू. 6,50,000",Manual,Sport,Petrol,2021,,027,White,18000,390
fzv2 dubble dis,"रू. 1,90,000",Automatic,Standard,Petrol,2019,,107,nevyblue,37,150
Aprilla Sr 125cc 131 Lot Super Fresh Condition Ons,"रू. 1,57,000",Manual,Scooty,Petrol,2021,,,,,
Ns 200 Like new 152 lot super fresh 9803656430,"रू. 1,40,000",Automatic,Sport,Petrol,2018 last,35+,,,30000,200
apache 160 4v urgent sell  123 lot abs,"रू. 1,65,000",Manual,Standard,Petrol,2021,40,123,,25000,160
honda aviator 007lot,"रू. 1,40,000",Automatic,Standard,Petrol,2019,,,,,
Bullet 2016 model black color,"रू. 3,75,000",Manual,Standard,Petrol,2016,,90,Black,30000,350
KTM duke2000 BS4 On Sale,"रू. 2,33,000",Manual,Others,Petrol,2016,30,79,black white,26000,200
Tvs Jupitar 94 Lot Super Fresh Condition Onsell,"रू. 88,000",Manual,Scooty,Petrol,2018,,,,,
Dio 110 fi urjent sale @233000,"रू. 2,33,000",Automatic,Standard,Petrol,2025,50+,057,Black,10k,110
Honda hornet 160r,"रू. 1,59,999",Manual,Standard,Petrol,2018,45 kmpl,97,Orange,34000,160
Jawa 42 300cc 118 Lot Super Fresh Condition Sell,"रू. 2,78,000",Manual,Standard,Petrol,2020,,,,,
rtr 160 002lot,"रू. 1,25,000",Automatic,Standard,Petrol,2018,,,,,
Aprilia Sr 150 Race Edition,"रू. 1,69,000",Automatic,Scooty,Petrol,2021,30,125,White black,24000,150
Ns200 059 Lot 2025 Model Finance Exchange,"रू. 3,95,000",Manual,Sport,Petrol,2025,,,,,
Apache Rtr 180 - 002 lot,"रू. 1,10,000",Manual,Others,Petrol,2018,,,,,
pleasure scooter,"रू. 62,000",Automatic,Scooty,Petrol,2013,35,59,Red& back,4020,110
Suzuki Gixxer 250,"रू. 2,00,000",Manual,Sport,Petrol,2019,40,111,Mat Black,39000,250
bike on sale fresh bike  discover 125 cc,"रू. 55,000",Manual,Standard,Petrol,2013,50,60,blue,,125
Honda Dio Scooty,"रू. 2,10,000",Automatic,Scooty,Petrol,2022,,132 Bagmati,Blue,"22, 000",110
bajaj pulsar 114 lat 150cc 1st hand 9849686911,"रू. 1,57,500",Manual,Standard,Petrol,2020,45,114,black,27560,150
Grazia 125,"रू. 1,50,000",Manual,Scooty,Petrol,2019,38,06,Red,27000,125
Honda aviator 1st hand 65 lat 9849686911,"रू. 87,500",Manual,Standard,Petrol,2015,45,65,golden,23560,110
Ns 200cc Black 152 lot fully fresh 9803656430,"रू. 1,40,000",Automatic,Sport,Petrol,2018 last,,,Black,,200
Ns 200 73 lot,"रू. 1,28,000",Manual,Sport,Petrol,2016,,73,,,200
Apache RTR 200 4V - CDI Unit,"रू. 2,600",Manual,Standard,Petrol,0000000,,,,,
electric scooter,"रू. 60,000",Automatic,Standard,Electric,2025,40km,,red,,
Hero Xr190 Fi System Lot-039 Single Hand,"रू. 6,10,000",Manual,Sport,Petrol,2022,,,,15000,190
Pulsar 220,"रू. 1,40,000",Manual,Sport,Petrol,2017,40,87,Black red,46000,220
DIO LED DLX A3 Color ( GY155(Green Metallic),"रू. 1,80,000",Manual,Scooty,Petrol,2021,,,Green metallic,24992,123
Honda aviator 69 lot sale,"रू. 85,000",Automatic,Scooty,Petrol,2015,35,69,Maroon,35000,110
honda unicorn 41 lot super fresh condition on sell,"रू. 67,000",Manual,Sport,Petrol,2010,,,,,
DOMINAR400CC - 023 lot fi abs,"रू. 3,00,000",Manual,Others,Petrol,2021,,,,,400
yamaha fz 25 for sale,"रू. 1,57,000",Automatic,Standard,Petrol,2019,,106,blue,40000,250
Bajaj pulsar 150 (2021),"रू. 1,50,000",Automatic,Standard,Petrol,2021,40,21,Black and red,50286,150
Apache 160 4v Fully Brand New Lot-032,"रू. 1,88,000",Manual,Sport,Petrol,2021,,,,18000,160
045 lot tvs ntorq race XP Fi sale and EX dio,"रू. 2,39,000",Automatic,Scooty,Petrol,2023,,045,red black,11000,125
very fresh bullet  sale or exchange,रू. 100,Manual,Standard,Petrol,2017,,81,gun grey,48000,350
Pulsar 220 fresh sound n condiition,"रू. 1,15,000",Manual,Standard,Petrol,0,,,,,
Dio,"रू. 95,000",Automatic,Scooty,Petrol,2017,,76,Green and white,41500,110
dio fi 046lot,"रू. 2,50,000",Automatic,Standard,Petrol,2024,,,,,
Dominor 400 023 lot,"रू. 3,10,000",Manual,Sport,Petrol,2021,,,,,
yamaha gladiator 51lot,"रू. 50,000",Automatic,Standard,Petrol,2012,,,,,
Reborn 350,"रू. 4,15,000",Manual,Cruiser,Petrol,2023,32,054,Halycon green,19000,350
Yamaha MT 15,"रू. 3,90,000",Manual,Sport,Petrol,2022,48+,02 036,White,23000,155
Honda Dio,"रू. 1,45,000",Automatic,Scooty,Petrol,2018,,96,,,110
