,Price,Transmission,Types,Fuel,Make Year,Lot No,Kilometer Run,Mileage (Km/L),Engine (CC),Color,Brand
304,70000,Manual,Standard,Petrol,2016,86,23000,40,150,Other,Other
305,167000,Manual,Scooty,Petrol,2022,86,23000,40,150,Other,Other
306,198000,Manual,Scooty,Petrol,2021,86,22000,40,125,Other,Other
307,113000,Automatic,Sport,Petrol,2017,86,25000,35,160,Other,Other
308,140000,Automatic,Standard,Petrol,2019,86,23000,40,150,Other,Honda
309,134000,Automatic,Scooty,Petrol,2019,110,20000,42,110,Grey,Honda
310,225000,Manual,Standard,Petrol,2024,86,23000,40,125,Other,TVS
311,580000,Manual,Dirt,Petrol,2021,26,10000,18,250,Red,Other
312,135000,Manual,Standard,Petrol,2017,87,40400,50,125,Other,Honda
313,122000,Automatic,Scooty,Petrol,2019,114,71000,38,125,Blue,Honda
314,415000,Manual,Cruiser,Petrol,2023,54,19000,32,350,Green,Other
315,230000,Manual,Sport,Petrol,2020,121,24000,40,220,Blue,Other
316,209000,Manual,Standard,Petrol,2020,117,17000,40,200,Other,Hero
317,49999,Automatic,Scooty,Petrol,2011,46,23000,40,100,Red,Honda
318,83000,Automatic,Scooty,Petrol,2015,68,45000,35,110,Grey,Honda
321,140000,Automatic,Sport,Petrol,2018,86,23000,40,200,Black,Other
322,96000,Manual,Scooty,Petrol,2014,60,23000,35,110,Other,Honda
323,270000,Manual,Sport,Petrol,2022,40,92000,45,155,Orange,FZ
324,115000,Automatic,Dirt,Petrol,2021,29,23000,30,250,Other,Other
325,195000,Manual,Scooty,Petrol,2024,39,14000,40,150,Blue,Other
326,225000,Manual,Sport,Petrol,2015,69,42000,35,200,Black,Other
327,89000,Manual,Scooty,Petrol,2015,67,31000,30,110,Red,Honda
328,495000,Manual,Sport,Petrol,2023,50,18313,45,155,Silver,Yamaha
329,99000,Automatic,Standard,Petrol,2016,86,23000,40,150,Other,Honda
330,155000,Automatic,Standard,Petrol,2019,86,23000,40,150,Other,Other
331,110000,Automatic,Others,Petrol,2008,3015,39000000,35,150,Black,Bajaj
333,120000,Manual,Cruiser,Petrol,2016,76,47000,45,150,Black,Other
334,40000,Manual,Others,Petrol,2003,86,23000,40,150,Other,Yamaha
335,220000,Manual,Standard,Petrol,2021,86,23000,40,150,Other,Other
336,120000,Manual,Standard,Petrol,2018,86,23000,40,150,Other,Other
